time,空口上行业务字节数
2018/3/12 0:00,1
2018/3/12 1:00,1
2018/3/12 2:00,45.695
2018/3/12 3:00,2.914
2018/3/12 4:00,2.914
2018/3/12 5:00,1384.3
2018/3/12 6:00,1520.423
2018/3/12 7:00,4016.217
2018/3/12 8:00,11701.038
2018/3/12 9:00,11130.763
2018/3/12 10:00,31242.475
2018/3/12 11:00,33709.918
2018/3/12 12:00,18928.84
2018/3/12 13:00,19541.401
2018/3/12 14:00,31863.491
2018/3/12 15:00,40261.229
2018/3/12 16:00,27324.976
2018/3/12 17:00,30194.256
2018/3/12 18:00,29214.311
2018/3/12 19:00,34592.926
2018/3/12 20:00,11293.601
2018/3/12 21:00,11015.894
2018/3/12 22:00,7394.971
2018/3/12 23:00,3163.404
2018/3/13 0:00,314.488
2018/3/13 1:00,1
2018/3/13 2:00,1
2018/3/13 3:00,1
2018/3/13 4:00,115.297
2018/3/13 5:00,92.938
2018/3/13 6:00,2.898
2018/3/13 7:00,899.035
2018/3/13 8:00,17105.597
2018/3/13 9:00,21732.592
2018/3/13 10:00,29653.063
2018/3/13 11:00,33949.346
2018/3/13 12:00,23770.838
2018/3/13 13:00,18824.446
2018/3/13 14:00,29774.381
2018/3/13 15:00,24547.306
2018/3/13 16:00,42018.799
2018/3/13 17:00,34305.39
2018/3/13 18:00,29522.966
2018/3/13 19:00,25449.4
2018/3/13 20:00,8333.183
2018/3/13 21:00,15581.797
2018/3/13 22:00,7132.519
2018/3/13 23:00,2511.815
2018/3/14 0:00,162.146
2018/3/14 1:00,3.052
2018/3/14 2:00,440.517
2018/3/14 3:00,496.059
2018/3/14 4:00,17.505
2018/3/14 5:00,1
2018/3/14 6:00,1
2018/3/14 7:00,866.561
2018/3/14 8:00,9317.511
2018/3/14 9:00,10388.636
2018/3/14 10:00,27084.175
2018/3/14 11:00,32149.731
2018/3/14 12:00,34430.394
2018/3/14 13:00,16022.796
2018/3/14 14:00,31831.265
2018/3/14 15:00,33312.562
2018/3/14 16:00,30367.264
2018/3/14 17:00,35152.11
2018/3/14 18:00,33611.765
2018/3/14 19:00,29672.205
2018/3/14 20:00,13693.696
2018/3/14 21:00,7739.417
2018/3/14 22:00,14334.94
2018/3/14 23:00,5768.953
2018/3/15 0:00,7.54
2018/3/15 1:00,19.401
2018/3/15 2:00,1
2018/3/15 3:00,1
2018/3/15 4:00,1
2018/3/15 5:00,34.957
2018/3/15 6:00,1998.68
2018/3/15 7:00,372.981
2018/3/15 8:00,21665.292
2018/3/15 9:00,14918.656
2018/3/15 10:00,48900.391
2018/3/15 11:00,33791.838
2018/3/15 12:00,32494.001
2018/3/15 13:00,13602.651
2018/3/15 14:00,35285.867
2018/3/15 15:00,34598.596
2018/3/15 16:00,46380.864
2018/3/15 17:00,33289.866
2018/3/15 18:00,26017.936
2018/3/15 19:00,38980.372
